feature_id	source_scope	source_files	source_loc	target_capsule	phase	done_gate
commands/brief	commands/brief	1	130	llm_caret.claude_full.commands/brief	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/btw	commands/btw	2	255	llm_caret.claude_full.commands/btw	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/bughunter	commands/bughunter	1	1	llm_caret.claude_full.commands/bughunter	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/chrome	commands/chrome	2	297	llm_caret.claude_full.commands/chrome	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/clear	commands/clear	4	421	llm_caret.claude_full.commands/clear	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/color	commands/color	2	109	llm_caret.claude_full.commands/color	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands	commands	1	754	llm_caret.claude_full.commands	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/commit	commands/commit	1	92	llm_caret.claude_full.commands/commit	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/commit-push-pr	commands/commit-push-pr	1	158	llm_caret.claude_full.commands/commit-push-pr	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/compact	commands/compact	2	302	llm_caret.claude_full.commands/compact	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/config	commands/config	2	17	llm_caret.claude_full.commands/config	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/context	commands/context	3	412	llm_caret.claude_full.commands/context	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/copy	commands/copy	2	385	llm_caret.claude_full.commands/copy	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/cost	commands/cost	2	47	llm_caret.claude_full.commands/cost	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/createMovedToPluginCommand	commands/createMovedToPluginCommand	1	65	llm_caret.claude_full.commands/createMovedToPluginCommand	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/ctx_viz	commands/ctx_viz	1	1	llm_caret.claude_full.commands/ctx_viz	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/debug-tool-call	commands/debug-tool-call	1	1	llm_caret.claude_full.commands/debug-tool-call	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/desktop	commands/desktop	2	34	llm_caret.claude_full.commands/desktop	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/diff	commands/diff	2	16	llm_caret.claude_full.commands/diff	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/doctor	commands/doctor	2	18	llm_caret.claude_full.commands/doctor	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/effort	commands/effort	2	195	llm_caret.claude_full.commands/effort	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/env	commands/env	1	1	llm_caret.claude_full.commands/env	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/exit	commands/exit	2	44	llm_caret.claude_full.commands/exit	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/export	commands/export	2	101	llm_caret.claude_full.commands/export	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/extra-usage	commands/extra-usage	4	181	llm_caret.claude_full.commands/extra-usage	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/fast	commands/fast	2	294	llm_caret.claude_full.commands/fast	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/feedback	commands/feedback	2	50	llm_caret.claude_full.commands/feedback	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/files	commands/files	2	31	llm_caret.claude_full.commands/files	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/good-claude	commands/good-claude	1	1	llm_caret.claude_full.commands/good-claude	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/heapdump	commands/heapdump	2	29	llm_caret.claude_full.commands/heapdump	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/help	commands/help	2	20	llm_caret.claude_full.commands/help	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/hooks	commands/hooks	2	23	llm_caret.claude_full.commands/hooks	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/ide	commands/ide	2	656	llm_caret.claude_full.commands/ide	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/init	commands/init	1	256	llm_caret.claude_full.commands/init	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/init-verifiers	commands/init-verifiers	1	262	llm_caret.claude_full.commands/init-verifiers	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/insights	commands/insights	1	3200	llm_caret.claude_full.commands/insights	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/install	commands/install	1	299	llm_caret.claude_full.commands/install	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/install-github-app	commands/install-github-app	14	2352	llm_caret.claude_full.commands/install-github-app	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/install-slack-app	commands/install-slack-app	2	42	llm_caret.claude_full.commands/install-slack-app	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/issue	commands/issue	1	1	llm_caret.claude_full.commands/issue	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/keybindings	commands/keybindings	2	66	llm_caret.claude_full.commands/keybindings	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/login	commands/login	2	117	llm_caret.claude_full.commands/login	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/logout	commands/logout	2	91	llm_caret.claude_full.commands/logout	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/mcp	commands/mcp	4	642	llm_caret.claude_full.commands/mcp	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/memory	commands/memory	2	99	llm_caret.claude_full.commands/memory	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/mobile	commands/mobile	2	284	llm_caret.claude_full.commands/mobile	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/mock-limits	commands/mock-limits	1	1	llm_caret.claude_full.commands/mock-limits	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/model	commands/model	2	312	llm_caret.claude_full.commands/model	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/oauth-refresh	commands/oauth-refresh	1	1	llm_caret.claude_full.commands/oauth-refresh	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/onboarding	commands/onboarding	1	1	llm_caret.claude_full.commands/onboarding	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/output-style	commands/output-style	2	17	llm_caret.claude_full.commands/output-style	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/passes	commands/passes	2	45	llm_caret.claude_full.commands/passes	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/perf-issue	commands/perf-issue	1	1	llm_caret.claude_full.commands/perf-issue	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/permissions	commands/permissions	2	20	llm_caret.claude_full.commands/permissions	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/plan	commands/plan	2	132	llm_caret.claude_full.commands/plan	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/plugin	commands/plugin	17	7575	llm_caret.claude_full.commands/plugin	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/pr_comments	commands/pr_comments	1	50	llm_caret.claude_full.commands/pr_comments	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/privacy-settings	commands/privacy-settings	2	71	llm_caret.claude_full.commands/privacy-settings	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/rate-limit-options	commands/rate-limit-options	2	228	llm_caret.claude_full.commands/rate-limit-options	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/release-notes	commands/release-notes	2	61	llm_caret.claude_full.commands/release-notes	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/reload-plugins	commands/reload-plugins	2	79	llm_caret.claude_full.commands/reload-plugins	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/remote-env	commands/remote-env	2	21	llm_caret.claude_full.commands/remote-env	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/remote-setup	commands/remote-setup	3	388	llm_caret.claude_full.commands/remote-setup	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/rename	commands/rename	3	166	llm_caret.claude_full.commands/rename	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/reset-limits	commands/reset-limits	1	4	llm_caret.claude_full.commands/reset-limits	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/resume	commands/resume	2	286	llm_caret.claude_full.commands/resume	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/review	commands/review	5	539	llm_caret.claude_full.commands/review	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/rewind	commands/rewind	2	26	llm_caret.claude_full.commands/rewind	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/sandbox-toggle	commands/sandbox-toggle	2	132	llm_caret.claude_full.commands/sandbox-toggle	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/security-review	commands/security-review	1	243	llm_caret.claude_full.commands/security-review	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/session	commands/session	2	155	llm_caret.claude_full.commands/session	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/share	commands/share	1	1	llm_caret.claude_full.commands/share	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/skills	commands/skills	2	17	llm_caret.claude_full.commands/skills	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/stats	commands/stats	2	16	llm_caret.claude_full.commands/stats	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/status	commands/status	2	19	llm_caret.claude_full.commands/status	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/statusline	commands/statusline	1	23	llm_caret.claude_full.commands/statusline	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/stickers	commands/stickers	2	27	llm_caret.claude_full.commands/stickers	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/summary	commands/summary	1	1	llm_caret.claude_full.commands/summary	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/tag	commands/tag	2	226	llm_caret.claude_full.commands/tag	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/tasks	commands/tasks	2	18	llm_caret.claude_full.commands/tasks	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/teleport	commands/teleport	1	1	llm_caret.claude_full.commands/teleport	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/terminalSetup	commands/terminalSetup	2	553	llm_caret.claude_full.commands/terminalSetup	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/theme	commands/theme	2	66	llm_caret.claude_full.commands/theme	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/thinkback	commands/thinkback	2	566	llm_caret.claude_full.commands/thinkback	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/thinkback-play	commands/thinkback-play	2	60	llm_caret.claude_full.commands/thinkback-play	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/ultraplan	commands/ultraplan	1	470	llm_caret.claude_full.commands/ultraplan	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/upgrade	commands/upgrade	2	53	llm_caret.claude_full.commands/upgrade	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/usage	commands/usage	2	15	llm_caret.claude_full.commands/usage	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/version	commands/version	1	22	llm_caret.claude_full.commands/version	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/vim	commands/vim	2	49	llm_caret.claude_full.commands/vim	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/voice	commands/voice	2	170	llm_caret.claude_full.commands/voice	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
components/AddPermissionRules	components/AddPermissionRules	1	179	llm_caret.claude_full.components/AddPermissionRules	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AddWorkspaceDirectory	components/AddWorkspaceDirectory	1	339	llm_caret.claude_full.components/AddWorkspaceDirectory	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AdvisorMessage	components/AdvisorMessage	1	157	llm_caret.claude_full.components/AdvisorMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AgentDetail	components/AgentDetail	1	219	llm_caret.claude_full.components/AgentDetail	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AgentEditor	components/AgentEditor	1	177	llm_caret.claude_full.components/AgentEditor	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/agentFileUtils	components/agentFileUtils	1	272	llm_caret.claude_full.components/agentFileUtils	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AgentNavigationFooter	components/AgentNavigationFooter	1	25	llm_caret.claude_full.components/AgentNavigationFooter	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AgentProgressLine	components/AgentProgressLine	1	135	llm_caret.claude_full.components/AgentProgressLine	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AgentsList	components/AgentsList	1	439	llm_caret.claude_full.components/AgentsList	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AgentsMenu	components/AgentsMenu	1	799	llm_caret.claude_full.components/AgentsMenu	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AnimatedAsterisk	components/AnimatedAsterisk	1	49	llm_caret.claude_full.components/AnimatedAsterisk	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AnimatedClawd	components/AnimatedClawd	1	123	llm_caret.claude_full.components/AnimatedClawd	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/App	components/App	1	55	llm_caret.claude_full.components/App	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ApproveApiKey	components/ApproveApiKey	1	122	llm_caret.claude_full.components/ApproveApiKey	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AskUserQuestionPermissionRequest	components/AskUserQuestionPermissionRequest	1	644	llm_caret.claude_full.components/AskUserQuestionPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AssistantRedactedThinkingMessage	components/AssistantRedactedThinkingMessage	1	30	llm_caret.claude_full.components/AssistantRedactedThinkingMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AssistantTextMessage	components/AssistantTextMessage	1	269	llm_caret.claude_full.components/AssistantTextMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AssistantThinkingMessage	components/AssistantThinkingMessage	1	85	llm_caret.claude_full.components/AssistantThinkingMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AssistantToolUseMessage	components/AssistantToolUseMessage	1	367	llm_caret.claude_full.components/AssistantToolUseMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AsyncAgentDetailDialog	components/AsyncAgentDetailDialog	1	228	llm_caret.claude_full.components/AsyncAgentDetailDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AttachmentMessage	components/AttachmentMessage	1	535	llm_caret.claude_full.components/AttachmentMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AutoModeOptInDialog	components/AutoModeOptInDialog	1	141	llm_caret.claude_full.components/AutoModeOptInDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AutoUpdater	components/AutoUpdater	1	197	llm_caret.claude_full.components/AutoUpdater	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AutoUpdaterWrapper	components/AutoUpdaterWrapper	1	90	llm_caret.claude_full.components/AutoUpdaterWrapper	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/AwsAuthStatusBox	components/AwsAuthStatusBox	1	81	llm_caret.claude_full.components/AwsAuthStatusBox	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BackgroundTask	components/BackgroundTask	1	344	llm_caret.claude_full.components/BackgroundTask	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BackgroundTasksDialog	components/BackgroundTasksDialog	1	651	llm_caret.claude_full.components/BackgroundTasksDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BackgroundTaskStatus	components/BackgroundTaskStatus	1	428	llm_caret.claude_full.components/BackgroundTaskStatus	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BaseTextInput	components/BaseTextInput	1	135	llm_caret.claude_full.components/BaseTextInput	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BashModeProgress	components/BashModeProgress	1	55	llm_caret.claude_full.components/BashModeProgress	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BashPermissionRequest	components/BashPermissionRequest	1	481	llm_caret.claude_full.components/BashPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/bashToolUseOptions	components/bashToolUseOptions	1	146	llm_caret.claude_full.components/bashToolUseOptions	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BridgeDialog	components/BridgeDialog	1	400	llm_caret.claude_full.components/BridgeDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Byline	components/Byline	1	76	llm_caret.claude_full.components/Byline	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/BypassPermissionsModeDialog	components/BypassPermissionsModeDialog	1	86	llm_caret.claude_full.components/BypassPermissionsModeDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CapabilitiesSection	components/CapabilitiesSection	1	60	llm_caret.claude_full.components/CapabilitiesSection	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ChannelDowngradeDialog	components/ChannelDowngradeDialog	1	101	llm_caret.claude_full.components/ChannelDowngradeDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ChannelsNotice	components/ChannelsNotice	1	265	llm_caret.claude_full.components/ChannelsNotice	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ClaudeInChromeOnboarding	components/ClaudeInChromeOnboarding	1	120	llm_caret.claude_full.components/ClaudeInChromeOnboarding	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ClaudeMdExternalIncludesDialog	components/ClaudeMdExternalIncludesDialog	1	136	llm_caret.claude_full.components/ClaudeMdExternalIncludesDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Clawd	components/Clawd	1	239	llm_caret.claude_full.components/Clawd	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ClickableImageRef	components/ClickableImageRef	1	72	llm_caret.claude_full.components/ClickableImageRef	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CollapsedReadSearchContent	components/CollapsedReadSearchContent	1	483	llm_caret.claude_full.components/CollapsedReadSearchContent	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/color	components/color	1	30	llm_caret.claude_full.components/color	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/colorDiff	components/colorDiff	1	37	llm_caret.claude_full.components/colorDiff	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ColorPicker	components/ColorPicker	1	111	llm_caret.claude_full.components/ColorPicker	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ColorStep	components/ColorStep	1	83	llm_caret.claude_full.components/ColorStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Commands	components/Commands	1	81	llm_caret.claude_full.components/Commands	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CompactBoundaryMessage	components/CompactBoundaryMessage	1	17	llm_caret.claude_full.components/CompactBoundaryMessage	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CompactSummary	components/CompactSummary	1	117	llm_caret.claude_full.components/CompactSummary	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ComputerUseApproval	components/ComputerUseApproval	1	440	llm_caret.claude_full.components/ComputerUseApproval	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CondensedLogo	components/CondensedLogo	1	160	llm_caret.claude_full.components/CondensedLogo	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Config	components/Config	1	1821	llm_caret.claude_full.components/Config	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ConfigurableShortcutHint	components/ConfigurableShortcutHint	1	56	llm_caret.claude_full.components/ConfigurableShortcutHint	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ConfirmStep	components/ConfirmStep	1	377	llm_caret.claude_full.components/ConfirmStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ConfirmStepWrapper	components/ConfirmStepWrapper	1	73	llm_caret.claude_full.components/ConfirmStepWrapper	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ConsoleOAuthFlow	components/ConsoleOAuthFlow	1	630	llm_caret.claude_full.components/ConsoleOAuthFlow	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ContextSuggestions	components/ContextSuggestions	1	46	llm_caret.claude_full.components/ContextSuggestions	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ContextVisualization	components/ContextVisualization	1	488	llm_caret.claude_full.components/ContextVisualization	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CoordinatorAgentStatus	components/CoordinatorAgentStatus	1	272	llm_caret.claude_full.components/CoordinatorAgentStatus	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CostThresholdDialog	components/CostThresholdDialog	1	49	llm_caret.claude_full.components/CostThresholdDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CreateAgentWizard	components/CreateAgentWizard	1	96	llm_caret.claude_full.components/CreateAgentWizard	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/CtrlOToExpand	components/CtrlOToExpand	1	50	llm_caret.claude_full.components/CtrlOToExpand	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DescriptionStep	components/DescriptionStep	1	122	llm_caret.claude_full.components/DescriptionStep	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DesktopHandoff	components/DesktopHandoff	1	192	llm_caret.claude_full.components/DesktopHandoff	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DesktopUpsellStartup	components/DesktopUpsellStartup	1	170	llm_caret.claude_full.components/DesktopUpsellStartup	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DevBar	components/DevBar	1	48	llm_caret.claude_full.components/DevBar	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DevChannelsDialog	components/DevChannelsDialog	1	104	llm_caret.claude_full.components/DevChannelsDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DiagnosticsDisplay	components/DiagnosticsDisplay	1	94	llm_caret.claude_full.components/DiagnosticsDisplay	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Dialog	components/Dialog	1	137	llm_caret.claude_full.components/Dialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DiffDetailView	components/DiffDetailView	1	280	llm_caret.claude_full.components/DiffDetailView	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DiffDialog	components/DiffDialog	1	382	llm_caret.claude_full.components/DiffDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DiffFileList	components/DiffFileList	1	291	llm_caret.claude_full.components/DiffFileList	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Divider	components/Divider	1	148	llm_caret.claude_full.components/Divider	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/DreamDetailDialog	components/DreamDetailDialog	1	250	llm_caret.claude_full.components/DreamDetailDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/EffortCallout	components/EffortCallout	1	264	llm_caret.claude_full.components/EffortCallout	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/EffortIndicator	components/EffortIndicator	1	42	llm_caret.claude_full.components/EffortIndicator	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ElicitationDialog	components/ElicitationDialog	1	1168	llm_caret.claude_full.components/ElicitationDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/EmergencyTip	components/EmergencyTip	1	57	llm_caret.claude_full.components/EmergencyTip	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/EnterPlanModePermissionRequest	components/EnterPlanModePermissionRequest	1	121	llm_caret.claude_full.components/EnterPlanModePermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ExitFlow	components/ExitFlow	1	47	llm_caret.claude_full.components/ExitFlow	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ExitPlanModePermissionRequest	components/ExitPlanModePermissionRequest	1	767	llm_caret.claude_full.components/ExitPlanModePermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ExpandShellOutputContext	components/ExpandShellOutputContext	1	35	llm_caret.claude_full.components/ExpandShellOutputContext	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/ExportDialog	components/ExportDialog	1	127	llm_caret.claude_full.components/ExportDialog	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/Fallback	components/Fallback	2	678	llm_caret.claude_full.components/Fallback	P3-terminal-ui	all file and symbol matrix rows implemented/tested
components/FallbackPermissionRequest	components/FallbackPermissionRequest	1	332	llm_caret.claude_full.components/FallbackPermissionRequest	P3-terminal-ui	all file and symbol matrix rows implemented/tested
