test/01_unit/lib/nogc_sync_mut/config_parser_float_semantics_spec.spl Results: 2 total, 2 passed, 0 failed
test/01_unit/os/kernel/ipc/abi_v1_transfer_contract_spec.spl Results: 12 total, 12 passed, 0 failed
test/01_unit/os/kernel/ipc/spm_port_spec.spl Results: 10 total, 10 passed, 0 failed
test/01_unit/os/kernel/ipc/syscall_file_open_flag_honesty_spec.spl Results: 2 total, 0 passed, 2 failed
test/01_unit/os/compositor/hosted_input_honesty_spec.spl Results: 7 total, 6 passed, 1 failed
test/01_unit/os/kernel/wine/kernel_vm_fault_spec.spl Results: 15 total, 15 passed, 0 failed
test/01_unit/os/libc/libc_string_ctype_spec.spl Results: 14 total, 14 passed, 0 failed
test/01_unit/os/compositor/wm_action_applier_spec.spl Results: 17 total, 15 passed, 2 failed
test/01_unit/os/kernel/memory/vmm_publish_kernel_pml4_spec.spl Results: 3 total, 3 passed, 0 failed
test/01_unit/os/compositor/wm_coverage_closure_spec.spl Results: 12 total, 12 passed, 0 failed
test/01_unit/os/kernel/memory/vmm_shared_mmap_spec.spl Results: 45 total, 45 passed, 0 failed
test/01_unit/os/process_isolation_as_spec.spl Results: 23 total, 22 passed, 1 failed
test/01_unit/os/services/nvfs/nvfs_durable_roundtrip_spec.spl Results: 3 total, 3 passed, 0 failed
test/01_unit/os/services/service_manifest_integration_spec.spl Results: 16 total, 16 passed, 0 failed
test/01_unit/os/services/service_manifest_spec.spl Results: 11 total, 11 passed, 0 failed
test/01_unit/os/tls13/new_session_ticket_spec.spl Results: 19 total, 19 passed, 0 failed
test/01_unit/os/tty/tty_write_delivery_spec.spl Results: 4 total, 4 passed, 0 failed
test/01_unit/std/constructor_spec.spl Results: 12 total, 12 passed, 0 failed
test/01_unit/spec/expect_spec.spl Results: 21 total, 21 passed, 0 failed
test/01_unit/os/tls13/psk_0rtt_spec.spl Results: 13 total, 12 passed, 1 failed
test/01_unit/std/deep/async_deep_5_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/os/services/launcher/launcher_app_launch_consumer_spec.spl Results: 5 total, 0 passed, 5 failed
test/01_unit/std/deep/error_deep_19_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/dict_deep_19_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/dict_deep_9_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/os/tls13/psk_connect_flow_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/io_deep_1_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/io_deep_3_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/io_deep_7_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/json_deep_1_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/option_deep_10_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/deep/option_deep_1_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/desktop/display_spec.spl Results: 1 total, 1 passed, 0 failed
test/01_unit/std/desktop/power_spec.spl Results: 1 total, 1 passed, 0 failed
test/01_unit/std/desktop/protocol_spec.spl Results: 1 total, 1 passed, 0 failed
test/01_unit/std/desktop/dialog_spec.spl Results: 2 total, 2 passed, 0 failed
test/01_unit/std/desktop/global_shortcut_spec.spl Results: 1 total, 1 passed, 0 failed
test/01_unit/std/desktop/lifecycle_spec.spl Results: 4 total, 4 passed, 0 failed
test/01_unit/std/desktop/tray_spec.spl Results: 2 total, 2 passed, 0 failed
test/01_unit/std/fixture_spec.spl Results: 4 total, 4 passed, 0 failed
test/01_unit/std/desktop/updater_spec.spl Results: 2 total, 2 passed, 0 failed
test/01_unit/std/given_working_spec.spl Results: 21 total, 21 passed, 0 failed
test/01_unit/std/hash/hash_trait_spec.spl Results: 17 total, 17 passed, 0 failed
test/01_unit/std/let_memoization_spec.spl Results: 16 total, 16 passed, 0 failed
test/01_unit/std/manual_mode_spec.spl Results: 8 total, 8 passed, 0 failed
test/01_unit/std/map/map_correctness_spec.spl Results: 11 total, 11 passed, 0 failed
test/01_unit/std/mock_phase5_spec.spl Results: 28 total, 22 passed, 6 failed
test/01_unit/std/mock_phase6_spec.spl Results: 59 total, 55 passed, 4 failed
test/01_unit/std/mock_phase4_spec.spl Results: 24 total, 21 passed, 3 failed
test/01_unit/std/mock_phase3_spec.spl Results: 31 total, 30 passed, 1 failed
test/01_unit/std/mock_spec.spl Results: 4 total, 4 passed, 0 failed
test/01_unit/std/mock_verification_spec.spl Results: 26 total, 26 passed, 0 failed
test/01_unit/std/perf_optimization_spec.spl Results: 51 total, 43 passed, 8 failed
test/01_unit/std/parser/treesitter_node_spec.spl Results: 1 total, 0 passed, 1 failed
test/01_unit/std/shared_examples_spec.spl Results: 15 total, 15 passed, 0 failed
test/01_unit/t32_mcp/lifecycle_tools_spec.spl Results: 24 total, 24 passed, 0 failed
test/01_unit/std/smoke_test_spec.spl Results: 22 total, 22 passed, 0 failed
test/01_unit/test_runner/test_runner_output_outcome_class_spec.spl Results: 6 total, 6 passed, 0 failed
test/01_unit/std/mock_phase7_spec.spl Results: 67 total, 67 passed, 0 failed
test/01_unit/test_runner/test_runner_output_class_boundary_spec.spl Results: 5 total, 5 passed, 0 failed
test/01_unit/test_runner/test_runner_types_classify_unified_spec.spl Results: 7 total, 7 passed, 0 failed
test/01_unit/test_runner/test_runner_output_sigkill_is_crashed_spec.spl Results: 3 total, 3 passed, 0 failed
test/02_integration/app/app_cli_intensive_spec.spl Results: 23 total, 23 passed, 0 failed
test/02_integration/app/mcp/wiki_keyword/wiki_tool_spec.spl Results: 3 total, 3 passed, 0 failed
test/02_integration/app/io_intensive_spec.spl Results: 29 total, 29 passed, 0 failed
test/02_integration/app/release/github_release_spec.spl Results: 9 total, 9 passed, 0 failed
test/02_integration/app/restaurant_webapp_spec.spl Results: 43 total, 43 passed, 0 failed
test/02_integration/app/simple/dynsmf_autoload_policy_spec.spl Results: 6 total, 4 passed, 2 failed
test/02_integration/app/simple_process_manager/winfs_shim_host_spec.spl Results: 3 total, 2 passed, 1 failed
test/02_integration/app/simple_process_manager/approval_broker_spec.spl Results: 4 total, 4 passed, 0 failed
test/02_integration/compiler/bootstrap_intensive_spec.spl Results: 36 total, 35 passed, 1 failed
test/02_integration/baremetal/baremetal_build_spec.spl Results: 1 total, 0 passed, 1 failed
test/02_integration/compiler/lexer_integration_spec.spl Results: 42 total, 42 passed, 0 failed
test/02_integration/compiler/parser_integration_spec.spl Results: 45 total, 45 passed, 0 failed
test/02_integration/hardware/rv32imac/rv32_compliance_spec.spl Results: 1 total, 0 passed, 1 failed
test/02_integration/io/native_ops_dir_create_all_spec.spl Results: 1 total, 0 passed, 1 failed
test/02_integration/io/native_ops_dir_create_spec.spl Results: 1 total, 0 passed, 1 failed
test/02_integration/io/native_ops_dir_recursive_spec.spl Results: 1 total, 0 passed, 1 failed
test/02_integration/lib/database_query_spec.spl Results: 13 total, 13 passed, 0 failed
test/02_integration/compiler/core_intensive_spec.spl Results: 32 total, 29 passed, 3 failed
test/02_integration/lib/query_intensive_spec.spl Results: 7 total, 7 passed, 0 failed
test/02_integration/lib/protocol_intensive_spec.spl Results: 54 total, 54 passed, 0 failed
test/02_integration/lib/stdlib_intensive_spec.spl Results: 22 total, 22 passed, 0 failed
test/02_integration/lib/std/ml/simple_math_integration_spec.spl Results: 16 total, 16 passed, 0 failed
test/02_integration/stats_command_spec.spl Results: 11 total, 11 passed, 0 failed
test/02_integration/rust/meta/comment_only_spec.spl Results: 1 total, 1 passed, 0 failed
test/02_integration/storage/dbfs/dbfs_mvcc_visibility_spec.spl Results: 17 total, 17 passed, 0 failed
test/02_integration/os/port/llvm/per_target_build_spec.spl Results: 60 total, 58 passed, 2 failed
test/02_integration/storage/dbfs/dbfs_sql_parser_spec.spl Results: 23 total, 23 passed, 0 failed
test/02_integration/storage/dbfs/dbfs_no_regression_spec.spl Results: 5 total, 2 passed, 3 failed
test/02_integration/storage/dbfs/nvfs_hosted_no_regression_spec.spl Results: 5 total, 2 passed, 3 failed
test/02_integration/storage/nvfs/nvfs_positioned_bytes_spec.spl Results: 8 total, 0 passed, 8 failed
test/02_integration/storage/nvfs/nvfs_image_builder_spec.spl Results: 5 total, 4 passed, 1 failed
test/02_integration/storage/dbfs/dbfs_positioned_bytes_spec.spl Results: 8 total, 0 passed, 8 failed
test/03_system/app/compiler/feature/host_cpu_runtime_variants_spec.spl Results: 11 total, 10 passed, 1 failed
test/03_system/app/compiler/feature/kairos_like_simple_mcp_llm_dashboard_spec.spl Results: 14 total, 1 passed, 13 failed
test/03_system/app/debug/feature/cli_debug_inspect_integrity_spec.spl Results: 1 total, 0 passed, 1 failed
test/03_system/app/compiler/feature/scheduler_process_isolation_spec.spl Results: 4 total, 4 passed, 0 failed
test/03_system/app/browser/feature/browser_address_url_reference_spec.spl Results: 1 total, 0 passed, 1 failed
test/03_system/app/compiler/feature/optimization_plugin_jit_hotspot_system_spec.spl Results: 9 total, 9 passed, 0 failed
test/03_system/app/lib/feature/chrome_modern_web_platform_compat_spec.spl Results: 44 total, 31 passed, 13 failed
test/03_system/app/llm_caret/feature/llm_caret_messaging_domain_spec.spl Results: 22 total, 22 passed, 0 failed
test/03_system/app/nvme_firmware/nvme_base_spec_commands_spec.spl Results: 3 total, 1 passed, 2 failed
test/03_system/app/scv/feature/scv_gates_spec.spl Results: 3 total, 0 passed, 3 failed
test/03_system/app/scv/feature/scv_change_spec.spl Results: 1 total, 0 passed, 1 failed
test/03_system/app/scv/feature/scv_merge_spec.spl Results: 3 total, 0 passed, 3 failed
test/03_system/app/scv/feature/scv_restore_spec.spl Results: 1 total, 0 passed, 1 failed
test/03_system/app/scv/feature/scv_spec.spl Results: 5 total, 0 passed, 5 failed
test/03_system/app/scv/feature/scv_parser_spec.spl Results: 2 total, 0 passed, 2 failed
test/03_system/app/simple_2d/feature/processing_metal_msl_backend_spec.spl Results: 3 total, 1 passed, 2 failed
test/03_system/app/hardware/feature/rv64_linux_rtl_pipeline_spec.spl Results: 1 total, 0 passed, 1 failed
test/03_system/app/simpleos/feature/simple_app_startup_spec.spl Results: 9 total, 9 passed, 0 failed
test/03_system/app/browser/feature/browser_script_history_traversal_spec.spl Results: 7 total, 0 passed, 7 failed
test/02_integration/compiler/import_syntax_spec.spl Results: 5 total, 5 passed, 0 failed
